time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,0,0,0,0,4.44089e-16,4.44089e-16
0.00500011,3.69737,2.90497,-2.0329,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,5.50364e-06,0.0001,5.50364e-06,0.0001,5.50364e-06,0.0001
0.03,3.69738,2.90496,-2.033,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,8.5e-06,0.0002,8.5e-06,0.0002,8.5e-06,0.0002
0.033,3.69738,2.90494,-2.0331,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,2.75278e-05,0.0003,2.75278e-05,0.0003,2.75278e-05,0.0003
0.0410001,3.69736,2.90492,-2.0333,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,4.62525e-05,0.0005,4.62525e-05,0.0005,4.62525e-05,0.0005
0.0510001,3.69733,2.90492,-2.0334,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,6.39973e-05,0.0006,6.39973e-05,0.0006,6.39973e-05,0.0006
0.0550001,3.6973,2.90493,-2.0333,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,7.52788e-05,0.0005,7.52788e-05,0.0005,7.52788e-05,0.0005
0.0710001,3.6973,2.90495,-2.0331,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,7.1767e-05,0.0003,7.1767e-05,0.0003,7.1767e-05,0.0003
0.0810001,3.69732,2.90496,-2.033,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,5.27394e-05,0.0002,5.27394e-05,0.0002,5.27394e-05,0.0002
0.089,3.69733,2.90495,-2.0329,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,4.08521e-05,0.0001,4.08521e-05,0.0001,4.08521e-05,0.0001
0.102,3.69732,2.90495,-2.0329,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,5.06806e-05,0.0001,5.06806e-05,0.0001,5.06806e-05,0.0001
0.106,3.6973,2.90495,-2.0329,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,6.90499e-05,0.0001,6.90499e-05,0.0001,6.90499e-05,0.0001
0.132,3.69731,2.90497,-2.0325,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,6.20053e-05,0.0003,6.20053e-05,0.0003,6.20053e-05,0.0003
0.138,3.69733,2.90498,-2.0324,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,4.57926e-05,0.0004,4.57926e-05,0.0004,4.57926e-05,0.0004
0.153,3.69733,2.90497,-2.0324,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.8697e-05,0.0004,3.8697e-05,0.0004,3.8697e-05,0.0004
0.155,3.69731,2.90495,-2.0325,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,5.81173e-05,0.0003,5.81173e-05,0.0003,5.81173e-05,0.0003
0.163,3.69729,2.90493,-2.0327,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,3.69737,2.90496,-2.0328,8.45619e-05,0.0001,8.45619e-05,0.0001,8.45619e-05,0.0001
