time,x_true,y_true,yaw_true,ekf_x,ekf_y,ekf_yaw,nkf_yaw_error
0.0109999,3.5732,-3.33296,2.3412,3.57047,-3.33016,2.35334,0.012137
0.053,3.57321,-3.33296,2.3413,3.57036,-3.33005,2.35379,0.012495
0.062,3.57326,-3.33291,2.3411,3.56754,-3.32722,2.36616,0.025061
0.109,3.57327,-3.3329,2.3411,3.56744,-3.32712,2.36662,0.025519
0.123,3.57328,-3.3329,2.3411,3.56548,-3.32521,2.37509,0.033992
0.154,3.57325,-3.33288,2.3407,3.565,-3.32474,2.37715,0.036453
0.164,3.57325,-3.33288,2.3408,3.56296,-3.3228,2.38589,0.045086
0.205,3.57329,-3.3329,2.3408,3.56172,-3.32163,2.39118,0.050376
0.225,3.5733,-3.33291,2.3408,3.55993,-3.31997,2.39874,0.05794
0.256,3.57327,-3.3329,2.3419,3.55775,-3.31797,2.4079,0.066
0.291,3.57324,-3.33282,2.3436,3.55759,-3.31782,2.40859,0.064987
0.308,3.57264,-3.3321,2.3534,3.55549,-3.31595,2.41729,0.063889
0.338,3.57105,-3.3305,2.3666,3.55266,-3.31345,2.42888,0.062278
0.389,3.57075,-3.33014,2.3694,3.5516,-3.31253,2.43315,0.063752
0.41,3.56942,-3.32858,2.383,3.54924,-3.31051,2.44256,0.05956
0.451,3.56806,-3.3274,2.3956,3.54663,-3.30833,2.45271,0.057108
0.49,3.56705,-3.32662,2.4061,3.54406,-3.30621,2.46261,0.056508
0.552,3.5658,-3.32533,2.4152,3.541,-3.30375,2.47412,0.058924
0.604,3.56355,-3.32299,2.4271,3.53956,-3.30262,2.47948,0.052384
0.624,3.5631,-3.32253,2.4296,3.5372,-3.30079,2.4882,0.058598
0.706,3.56006,-3.3193,2.4447,3.53382,-3.29823,2.50043,0.055735
0.716,3.55971,-3.31887,2.4468,3.53259,-3.29731,2.50482,0.058024
0.747,3.55766,-3.31728,2.4502,3.53054,-3.29579,2.5121,0.061897
0.777,3.55705,-3.31698,2.45,3.52817,-3.29408,2.52038,0.070377
0.808,3.55504,-3.31616,2.4449,3.52758,-3.29365,2.52245,0.077547
0.828,3.55458,-3.31578,2.4455,3.5249,-3.29175,2.53176,0.086262
0.869,3.55299,-3.31381,2.4542,3.52436,-3.29138,2.53362,0.079425
0.889,3.55151,-3.31082,2.4799,3.52244,-3.29004,2.54022,0.060319
0.909,3.54995,-3.30984,2.484,3.52126,-3.28923,2.54124,0.057244
0.925,3.54946,-3.30948,2.4857,3.52104,-3.28908,2.54124,0.055544
0.94,3.54422,-3.30584,2.5091,3.51623,-3.28579,2.54124,0.032144
1.031,3.54366,-3.30544,2.5109,3.51507,-3.28499,2.54124,0.030344
1.041,3.53849,-3.30164,2.5255,3.51064,-3.28197,2.54124,0.015744
1.173,3.53514,-3.29944,2.526,3.5081,-3.28022,2.54124,0.015244
1.176,3.53471,-3.29912,2.5263,3.5081,-3.28022,2.54124,0.014944
1.194,3.53309,-3.29722,2.5312,3.50539,-3.27837,2.54124,0.010044
1.244,3.53052,-3.2957,2.5285,3.50324,-3.27689,2.54124,0.012744
1.271,3.52963,-3.29534,2.5258,3.50257,-3.27644,2.54124,0.015444
1.285,3.52687,-3.29367,2.5201,3.50003,-3.2747,2.54124,0.021144
